SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%)
63.0038,0.2082,15.9072,3.36,0.8651,0.0795
63.0543,0.1646,16.1856,2.92,0.8135,0.0399
63.0341,0.1467,15.84,3.16,0.7671,0.031
63.023999999999994,0.1669,15.7056,3.22,0.8078,0.0503
63.3674,0.2749,16.1184,3.2,0.9643,0.16699999999999998
62.08,0.2763,16.64,3.18,0.1192,0.9543
60.28,0.1747,16.33,3.0,0.0594,0.7621
61.73,0.3557,16.59,4.1,0.1641,0.8054
61.53,0.2654,17.2,3.35,0.124,0.985
61.65,0.2574,17.03,3.19,0.1251,0.9127
62.26,0.2878,17.24,3.55,0.126,0.9690000000000001
61.64,0.2609,17.2,3.12,0.1266,0.9071
62.19,0.2045,16.87,3.3,0.1016,0.8127
61.86,0.2846,17.07,3.39,0.1252,0.9465
62.49,0.2356,17.05,3.28,0.0701,0.8298
62.31,0.2591,17.19,3.46,0.1449,0.9602
62.21,0.2676,17.23,2.97,0.1562,0.9276
61.98,0.2629,17.13,3.42,0.1129,0.9167
60.69,0.2906,17.16,3.44,0.1232,1.0268
62.16,0.2025,16.94,2.96,0.073,0.8474
66.28,0.1535,14.93,2.99,0.0,0.4891
61.78,0.2025,15.01,2.95,0.0303,0.6027
65.59,0.183,15.41,3.27,0.0,0.6319
66.11,0.1692,15.29,3.32,0.0409,0.5628
66.32,0.1457,14.34,2.93,0.0012,0.4278
63.71,0.2084,15.64,3.22,0.0025,0.7196
65.23,0.1943,16.1,3.02,0.0569,0.7054
64.29,0.1851,15.02,3.1,0.0376,0.579
64.67,0.1718,15.74,2.98,0.0031,0.6932
67.14,0.1716,15.06,2.93,0.0092,0.4922
65.28,0.1978,14.96,3.14,0.7416,0.15
64.34,0.2021,14.8,3.33,0.4882,0.0799
63.69,0.1579,13.88,2.88,0.4217,0.0064
67.44,0.1478,14.71,3.14,0.4782,0.0058
64.99,0.17,14.85,3.06,0.6337,0.057999999999999996
64.51,0.1402,14.29,3.13,0.5815,0.02
63.27,0.17,14.63,3.07,0.5503,0.0129
61.98,0.1931,15.65,3.28,0.8065,0.0336
66.41,0.1335,15.28,3.12,0.3978,0.0401
65.3268,0.1281,13.9776,3.17,0.4909,0.0
66.1449,0.1622,14.4864,3.23,0.5311,0.0244
64.8622,0.1317,14.2944,3.47,0.517,0.0265
64.48,0.1417,14.81,3.2,0.6482,0.0167
64.52,0.1616,13.72,3.03,0.4355,0.0
65.34,0.1344,14.21,2.9,0.5414,0.0084
65.33,0.1344,14.2,2.99,0.6123,0.0
65.34,0.1448,14.6,3.13,0.5922,0.0192
63.77,0.113,14.49,3.13,0.5262,0.0
64.7,0.1796,13.75,2.71,0.4886,0.0253
65.1854,0.1459,14.1696,3.31,0.5539,0.0
63.45,0.1661,14.24,3.83,0.4857,0.0183
62.96,0.1712,15.55,3.52,0.6169,0.0396
62.23,0.2211,16.1,3.91,0.9032,0.1429
62.67,0.182,16.07,3.46,0.6994,0.0936
